iter	Passed	Remaining
901	1257	136
902	1259	135
903	1261	133
904	1262	132
905	1263	131
906	1266	129
907	1267	128
908	1268	127
909	1270	125
910	1271	124
911	1273	122
912	1275	121
913	1276	120
914	1278	118
915	1279	117
916	1280	115
917	1281	114
918	1283	113
919	1284	111
920	1285	110
921	1287	108
922	1288	107
923	1289	106
924	1290	104
925	1292	103
926	1293	101
927	1294	100
928	1295	99
929	1297	97
930	1298	96
931	1299	94
932	1301	93
933	1302	92
934	1303	90
935	1304	89
936	1307	87
937	1308	86
938	1310	85
939	1311	83
940	1313	82
941	1314	80
942	1316	79
943	1318	78
944	1320	76
945	1322	75
946	1323	74
947	1325	72
948	1326	71
949	1327	69
950	1328	68
951	1330	67
952	1333	65
953	1334	64
954	1336	62
955	1337	61
956	1338	60
957	1340	58
958	1341	57
959	1343	55
960	1345	54
961	1347	53
962	1348	51
963	1350	50
964	1351	49
965	1352	47
966	1353	46
967	1354	44
968	1355	43
969	1356	41
970	1357	40
971	1359	39
972	1360	37
973	1362	36
974	1363	34
975	1365	33
976	1366	32
977	1367	30
978	1368	29
979	1370	27
980	1372	26
981	1373	25
982	1374	23
983	1375	22
984	1376	20
985	1377	19
986	1379	18
987	1380	16
988	1381	15
989	1382	13
990	1383	12
991	1384	11
992	1384	9
993	1385	8
994	1386	6
995	1387	5
996	1388	4
997	1389	2
998	1390	1
999	1391	0
